configuration,column,TP,FP,FN,TN,precision,recall,f1,accuracy
default,processed_intent,6851,7,270,0,0.9989792942548849,0.9620839769695267,0.9801845625581229,0.9611391694725028
default,processed_class,2782,4014,332,0,0.40935844614479105,0.8933847141939627,0.5614530776992936,0.39029180695847365
default,processed_attributes,355,2169,2628,1976,0.14064976228209192,0.1190077103586993,0.12892682041038678,0.04980359147025814
default,processed_filter_attributes,27,168,3208,3725,0.13846153846153847,0.008346213292117466,0.015743440233236154,0.003787878787878788
treatment_mode,processed_intent,6978,42,108,0,0.994017094017094,0.9847586790855207,0.9893662271373883,0.9789562289562289
treatment_mode,processed_class,5279,1557,292,0,0.7722352252779403,0.9475857117214145,0.8509712259208512,0.7406004489337823
treatment_mode,processed_attributes,2235,2699,1187,1007,0.452979327117957,0.6531268264172998,0.5349449497367161,0.3135521885521885
treatment_mode,processed_filter_attributes,85,179,3138,3726,0.32196969696969696,0.026372944461681664,0.04875250932033267,0.011924803591470258
